_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a007270c,tmdb_822119,"Action, Thriller, Science Fiction",6.07,2025-02-12,0,tmdb,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",Captain America: Brave New World,movie
685682fc8482e0a7a007270d,tmdb_1199974,Horror,7.068,2024-10-18,0,tmdb,"In a dystopian future ravaged by a viral apocalypse, three young brothers—Salvador, Oliver, and Benjamin—find themselves isolated in a remote cabin deep within the woods. As they navigate this desolate world, they harbor a dark and disturbing secret in their basement, a presence they must feed to ensure their own survival.",Párvulos: Children of the Apocalypse,movie
685682fc8482e0a7a007270e,tmdb_1421982,"Animation, Adventure, Comedy, Fantasy, Family, Music",6.857,2025-01-21,0,tmdb,Kiff and her friends go on an adventure to destroy a ring light of immense power.,Kiff Lore of the Ring Light,movie
685682fc8482e0a7a007270f,tmdb_1411773,"Action, Adventure",8.119,2024-10-18,0,tmdb,"When an evil contractor goes to extreme measures to evict a testy tenant who is standing in the way of his new project, he fails to take into account that this seemingly harmless old woman is a trained killer and will do anything to protect her beloved home.",The Last Stand of Ellen Cole,movie
685682fc8482e0a7a0072710,tmdb_324544,"Action, Fantasy, Adventure",6.509,2025-02-27,0,tmdb,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",In the Lost Lands,movie
685682fc8482e0a7a0072711,tmdb_968171,Comedy,5.9,1973-11-20,0,tmdb,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",Sex Education Mistresses,movie
685682fc8482e0a7a0072712,tmdb_1040159,Documentary,5.8,2022-10-24,0,tmdb,"An extra-large penis is an object of desire for many. But for some men, extra-large seriously complicates their lives and relationships, and penis reduction surgery seems the only answer.",My Massive Cock,movie
685682fc8482e0a7a0072713,tmdb_1136867,"Romance, Drama",7.172,2025-06-12,0,tmdb,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",Materialists,movie
685682fc8482e0a7a0072714,tmdb_1234821,"Science Fiction, Adventure, Action",0.0,2025-07-01,0,tmdb,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",Jurassic World Rebirth,movie
685682fc8482e0a7a0072715,tmdb_1303162,"Adventure, Action, Comedy, Fantasy",7.72,2024-12-13,0,tmdb,"A novice red blood cell and a relentless white blood cell work together to protect their human from invading germs, pathogens and other threats.",Cells at Work!,movie
685682fc8482e0a7a0072716,tmdb_950396,"Romance, Science Fiction, Thriller",7.711,2025-02-13,0,tmdb,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",The Gorge,movie
